id,title,pattern,exclude,priority,availability,qualification,source_rows,legacy_flags,example,category
sink-drain,Clogged sink,\bsink\b.*\b(clog|block|slow|back|drains? slowly|(?:will not|won.t|not) drain)|\b(clogged|blocked|slow.draining)\b.*\bsink\b,,50,Review first,Operator must assess scope and provider qualifications,,,sink is clogged,Plumbing
bath-drain,Clogged bath or shower,\b(bath|bathtub|tub|shower)\b.*\b(clog|block|slow|drain)|\b(clogged|blocked)\b.*\b(bath|tub|shower)\b,,50,Review first,Operator must assess scope and provider qualifications,,,shower drains slowly,Plumbing
toilet-block,Blocked or overflowing toilet,\btoilet\b.*\b(clog|block|overflow|flush|back)|\b(clogged|blocked|overflowing)\b.*\btoilet\b,,50,Review first,Operator must assess scope and provider qualifications,17,no,clogged toilet,Plumbing
toilet-running,Running toilet,\btoilet\b.*\b(run|refill)|\brunning\b.*\btoilet\b,,50,Review first,Operator must assess scope and provider qualifications,,,running toilet,Plumbing
fixture-replace,Faucet or fixture replacement,\b(replace|replacement|install|new)\b.*\b(faucet|tap|sink|toilet)\b|\b(faucet|tap|sink|toilet)\b.*\b(replace|replacement|install)\b,,50,Review first,Operator must assess scope and provider qualifications,,,replace faucet,Plumbing
sink-leak,Leak under sink,\b(leak|leaking|water)\b.*\b(under|underneath|beneath|sink)\b|\bsink\b.*\b(leak|leaking)\b,,50,Review first,Operator must assess scope and provider qualifications,,,sink leaking underneath,Plumbing
faucet-leak,Leaking faucet,\b(faucet|tap)\b.*\b(drip|leak)|\b(dripping|leaking)\b.*\b(faucet|tap)\b,,50,Review first,Operator must assess scope and provider qualifications,16,no,leaking faucet,Plumbing
door-adjust,Door sticking or not latching,\bdoor\b.*\b(stick|rub|close|latch)|\b(sticking|rubbing)\b.*\bdoor\b|\bsqueak\w* hinge\b,,50,Offered,Normal scope and provider checks,1,no,door is sticking,Handyman
door-hardware,"Loose handle, lock, or hinge",\b(handle|lock|hinge)\b.*\b(loose|broken|repair|replace)|\b(loose|broken)\b.*\b(handle|lock|hinge)\b|\b(?:door knob|deadbolt|hinge replace)\b,,50,Offered,Normal scope and provider checks,2,no,loose door handle,Handyman
cabinet,Cabinet door or drawer problem,\b(cabinet|drawer)\b.*\b(stuck|loose|damage|broken|misalign|align|repair|fix)|\b(stuck|loose|broken)\b.*\b(cabinet|drawer)\b,,50,Offered,Normal scope and provider checks,28,no,cabinet is misaligned,Carpentry
damp,Water stain or damp wall/ceiling,\b(water stain|damp|wet|sagging)\b.*\b(wall|ceiling)\b|\b(wall|ceiling)\b.*\b(wet|damp|water stain|sagging)\b,,50,Review first,Operator must assess scope and provider qualifications,,,damp ceiling,Specialist
drywall,Drywall hole or crack,\bdrywall\b|\b(hole|crack|dent)\b.*\bwall\b,,50,Offered,Normal scope and provider checks,5,no,hole in wall,Handyman
paint,Painting or touch-up,\b(paint|painting|touch.up)\b,,50,Offered,Normal scope and provider checks,6,no,paint,Handyman
shelves,Shelf installation,\bshel(f|ves|ving)\b,,50,Offered,Normal scope and provider checks,8,no,shelf,Installation
tv,TV mounting,\b(tv|television)\b,,50,Offered,Normal scope and provider checks,9,no,tv,Installation
hanging,Picture or mirror hanging,\b(picture|mirror|artwork)\b,,50,Offered,Normal scope and provider checks,11,no,hang picture,Installation
curtains,Curtains or blinds,\b(curtain|curtains|blind|blinds)\b,,50,Offered,Normal scope and provider checks,10,no,curtain rod,Installation
