issue_id,id,label,options
sink-drain,location,Which sink is affected?,Kitchen|Bathroom|Laundry|Other|Not sure
sink-drain,drainage,What happens when water drains?,Drains slowly|Completely blocked|Water backs up|Not sure
sink-drain,other,"Are other sinks, toilets, or drains affected?","No, only this fixture|Yes, other fixtures too|Not sure"
sink-drain,tried,"What has already been tried, including any drain-cleaning product?",
bath-drain,fixture,Is this a bathtub or shower?,Bathtub|Shower|Combined bath and shower|Not sure
bath-drain,drainage,Does water drain slowly or remain standing?,Drains slowly|Remains standing|Backs up|Not sure
bath-drain,other,"Are other sinks, toilets, or drains affected?","No, only this fixture|Yes, other fixtures too|Not sure"
bath-drain,tried,"What has already been tried, including any drain-cleaning product?",
toilet-block,symptom,What is happening?,Blocked|Drains slowly|Overflowing|Not sure
toilet-block,spill,Is water currently spilling onto the floor?,Yes|No|Not sure
toilet-block,other,"Are other sinks, toilets, or drains affected?","No, only this fixture|Yes, other fixtures too|Not sure"
toilet-block,start,"When did this start, and was anything unusual flushed?",
toilet-running,frequency,Does water run continuously or occasionally?,Continuously|Occasionally|Not sure
toilet-running,refill,Does the tank refill without flushing?,Yes|No|Not sure
toilet-running,outside,Is there water outside the toilet?,Yes|No|Not sure
toilet-running,count,How many toilets are affected?,
fixture-replace,items,"What needs replacing, and how many?",
fixture-replace,supplied,Are the products and installation hardware already available?,Yes|Some parts only|No|Not sure
fixture-replace,model,What is the model or product link? A photo is also helpful.,
fixture-replace,connections,Are connections or the fixture location changing?,Like-for-like replacement|Connections or location changing|Not sure
sink-leak,source,Where is water visible?,Supply connection|Drain pipe|Unknown location|Not sure
sink-leak,frequency,When does the leak happen?,Continuously|Only when the sink is used|Not sure
sink-leak,spread,Is the water contained or spreading?,Contained|Spreading|Not sure
sink-leak,damage,Is there visible cabinet or floor damage?,Yes|No|Not sure
faucet-leak,location,Which fixture and room?,
faucet-leak,source,Where does the water appear?,Spout|Handle or base|Underneath|Not sure
faucet-leak,frequency,"Does it happen when the tap is off, on, or both?",Off|On|Both|Not sure
faucet-leak,preference,Would you prefer repair or replacement?,Repair|Replacement|Please advise|Not sure
door-adjust,location,Is it an interior or exterior door?,Interior|Exterior|Not sure
door-adjust,symptom,What is the door doing?,Rubbing or sticking|Not latching|Will not close|Not sure
door-adjust,damage,Is the door or frame visibly damaged?,No visible damage|Damaged or cracked|Not sure
door-adjust,count,How many doors are affected?,
door-hardware,part,Which part is loose or broken?,Handle|Lock|Hinge|Not sure
